symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"AAPL","Apple Inc","176.65","-0.92","-0.52%","176.82","173.35","79,829,203","11/03/23","STK","Yes","1","[object Object]"
"ABNB","Airbnb Inc Cl A","122.64","+7.14","+6.18%","123.45","117.38","9,020,300","11/03/23","STK","Yes","1","[object Object]"
"ADBE","Adobe Systems Inc","563.66","+4.95","+0.89%","567.03","557.66","2,066,500","11/03/23","STK","Yes","1","[object Object]"
"ADI","Analog Devices","167.92","+3.58","+2.18%","169.46","165.94","3,536,600","11/03/23","STK","Yes","1","[object Object]"
"ADP","Automatic Data Procs","219.31","+0.75","+0.34%","222.32","216.42","2,455,200","11/03/23","STK","Yes","1","[object Object]"
"ADSK","Autodesk Inc","203.98","+4.74","+2.38%","205.35","200.28","1,354,600","11/03/23","STK","Yes","1","[object Object]"
"AEP","American Electric Power Company","79.72","+0.48","+0.61%","81.08","79.60","4,149,700","11/03/23","STK","Yes","1","[object Object]"
"ALGN","Align Technology","197.44","+5.12","+2.66%","202.97","194.60","2,162,200","11/03/23","STK","Yes","1","[object Object]"
"AMAT","Applied Materials","139.75","+1.24","+0.90%","141.77","139.07","5,560,300","11/03/23","STK","Yes","1","[object Object]"
"AMD","Adv Micro Devices","112.25","+4.42","+4.10%","113.39","107.86","65,632,203","11/03/23","STK","Yes","1","[object Object]"
"AMGN","Amgen Inc","269.86","+3.27","+1.23%","270.55","265.50","2,509,900","11/03/23","STK","Yes","1","[object Object]"
"AMZN","Amazon.com Inc","138.60","+0.53","+0.38%","139.49","137.45","44,059,801","11/03/23","STK","Yes","1","[object Object]"
"ANSS","Ansys Inc","287.74","+14.89","+5.46%","289.42","274.57","804,200","11/03/23","STK","Yes","1","[object Object]"
"ASML","Asml Holdings NY Reg ADR","642.41","+11.02","+1.75%","647.00","638.90","907,000","11/03/23","STK","Yes","1","[object Object]"
"AVGO","Broadcom Ltd","882.68","+11.38","+1.31%","887.50","871.06","1,804,100","11/03/23","STK","Yes","1","[object Object]"
"AZN","Astrazeneca Plc ADR","63.96","-0.22","-0.34%","64.31","63.47","4,359,000","11/03/23","STK","Yes","1","[object Object]"
"BIIB","Biogen Inc","249.50","+7.64","+3.16%","251.51","243.66","992,600","11/03/23","STK","Yes","1","[object Object]"
"BKNG","Booking Holdings Inc","2,858.75","+20.13","+0.71%","2,868.97","2,762.44","580,400","11/03/23","STK","Yes","1","[object Object]"
"BKR","Baker Hughes Company","35.19","-0.32","-0.90%","35.54","34.94","5,519,100","11/03/23","STK","Yes","1","[object Object]"
"CDNS","Cadence Design Sys","249.54","+5.06","+2.07%","251.00","245.45","1,525,600","11/03/23","STK","Yes","1","[object Object]"
"CEG","Constellation Energy Corp","117.07","-0.12","-0.10%","118.67","116.85","1,853,200","11/03/23","STK","Yes","1","[object Object]"
"CHTR","Charter Communications Inc","420.11","+7.49","+1.82%","424.86","415.10","809,000","11/03/23","STK","Yes","1","[object Object]"
"CMCSA","Comcast Corp A","43.18","+0.68","+1.60%","43.42","42.82","19,005,600","11/03/23","STK","Yes","1","[object Object]"
"COST","Costco Wholesale","560.90","+4.93","+0.89%","562.99","555.23","1,826,700","11/03/23","STK","Yes","1","[object Object]"
"CPRT","Copart Inc","45.93","+0.68","+1.50%","46.19","45.52","3,259,200","11/03/23","STK","Yes","1","[object Object]"
"CRWD","Crowdstrike Holdings Inc","188.24","+5.44","+2.98%","188.74","178.35","3,262,900","11/03/23","STK","Yes","1","[object Object]"
"CSCO","Cisco Systems Inc","53.01","+0.26","+0.49%","53.45","52.63","17,645,100","11/03/23","STK","Yes","1","[object Object]"
