symbol,symbolName,lastPrice,priceChange,percentChange,openPrice,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"AADI","Aadi Biosciences Inc","4.86","+0.26","+5.65%","4.66","4.90","4.60","129,200","11/03/23","STK","Yes","1","[object Object]"
"AAN","Aarons Holdings Company","7.47","+0.19","+2.61%","7.44","7.63","7.40","239,500","11/03/23","STK","Yes","1","[object Object]"
"AAON","Aaon Inc","57.87","+1.05","+1.85%","58.19","59.10","57.83","264,800","11/03/23","STK","Yes","1","[object Object]"
"AAT","American Assets Trust","19.95","+0.90","+4.72%","19.54","19.96","19.38","320,600","11/03/23","STK","Yes","1","[object Object]"
"ABCB","Ameris Bancorp","41.84","+1.36","+3.36%","41.80","42.59","41.75","353,300","11/03/23","STK","Yes","1","[object Object]"
"ABG","Asbury Automotive Group Inc","210.02","+8.25","+4.09%","205.53","213.83","205.53","163,300","11/03/23","STK","Yes","1","[object Object]"
"ABM","ABM Industries Inc","40.86","+0.76","+1.90%","40.61","41.12","40.52","404,300","11/03/23","STK","Yes","1","[object Object]"
"ABR","Arbor Realty Trust","12.89","-0.43","-3.23%","13.62","14.11","12.86","7,264,900","11/03/23","STK","Yes","1","[object Object]"
"ABUS","Arbutus Biopharma Cp","1.9200","+0.1100","+6.08%","1.8400","1.9300","1.8400","680,100","11/03/23","STK","Yes","1","[object Object]"
"ACA","Arcosa Inc","67.66","+2.52","+3.87%","66.36","68.37","66.36","509,400","11/03/23","STK","Yes","1","[object Object]"
"ACAD","Acadia Pharmaceutica","24.07","+1.08","+4.70%","24.00","24.73","22.78","2,822,300","11/03/23","STK","Yes","1","[object Object]"
"ACCD","Accolade Inc","7.26","+0.32","+4.61%","7.15","7.53","7.15","713,400","11/03/23","STK","Yes","1","[object Object]"
"ACCO","Acco Brands Corp","5.05","-0.13","-2.51%","5.11","5.41","5.03","1,022,600","11/03/23","STK","Yes","1","[object Object]"
"ACDC","Profrac Holding Corp. Cl A","9.63","+0.05","+0.52%","9.69","10.14","9.57","402,900","11/03/23","STK","Yes","1","[object Object]"
"ACEL","Accel Entertainment Inc","10.38","+0.27","+2.67%","10.31","10.50","10.29","288,500","11/03/23","STK","Yes","1","[object Object]"
"ACET","Adicet Bio Inc","1.6500","+0.1700","+11.49%","1.5200","1.6850","1.5200","387,800","11/03/23","STK","Yes","1","[object Object]"
"ACHR","Archer Aviation Inc","5.47","+0.34","+6.63%","5.20","5.50","5.20","4,632,900","11/03/23","STK","Yes","1","[object Object]"
"ACIC","American Coastal Insurance Corp","7.44","-0.01","-0.13%","7.57","7.75","7.38","511,500","11/03/23","STK","Yes","1","[object Object]"
"ACIW","Aci Worldwide Inc","24.09","+1.06","+4.60%","23.35","24.27","23.03","786,200","11/03/23","STK","Yes","1","[object Object]"
"ACLS","Axcelis Tech Inc","131.11","+3.08","+2.41%","128.47","132.35","126.68","819,100","11/03/23","STK","Yes","1","[object Object]"
