symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"A","Agilent Technologies","103.37","+2.20","+2.17%","104.20","101.94","2,218,805","10/31/23","STK","Yes","1","[object Object]"
"AAL","American Airlines Gp","11.15","-0.03","-0.27%","11.16","10.86","42,064,301","10/31/23","STK","Yes","1","[object Object]"
"AAPL","Apple Inc","170.77","+0.48","+0.28%","170.90","167.90","44,817,398","10/31/23","STK","Yes","1","[object Object]"
"ABBV","Abbvie Inc","141.18","-0.71","-0.50%","142.22","139.68","10,393,394","18:30 ET","STK","Yes","1","[object Object]"
"ABNB","Airbnb Inc Cl A","118.29","+1.34","+1.15%","118.69","114.91","4,643,800","10/31/23","STK","Yes","1","[object Object]"
"ABT","Abbott Laboratories","94.55","+1.55","+1.67%","94.90","93.12","7,452,317","18:30 ET","STK","Yes","1","[object Object]"
"ACGL","Arch Capital Grp Ltd","86.68","+3.80","+4.58%","87.50","85.00","2,964,500","10/31/23","STK","Yes","1","[object Object]"
"ACN","Accenture Plc","297.09","+4.39","+1.50%","297.28","293.08","1,953,445","18:30 ET","STK","Yes","1","[object Object]"
"ADBE","Adobe Systems Inc","532.06","+5.12","+0.97%","532.64","522.81","2,051,400","10/31/23","STK","Yes","1","[object Object]"
"ADI","Analog Devices","157.33","+1.45","+0.93%","157.64","155.16","3,151,700","10/31/23","STK","Yes","1","[object Object]"
"ADM","Archer Daniels Midland","71.57","+0.15","+0.21%","72.02","71.30","2,626,994","18:30 ET","STK","Yes","1","[object Object]"
"ADP","Automatic Data Procs","218.22","+2.14","+0.99%","218.95","215.25","2,556,600","10/31/23","STK","Yes","1","[object Object]"
"ADSK","Autodesk Inc","197.63","-0.16","-0.08%","198.63","195.32","1,057,600","10/31/23","STK","Yes","1","[object Object]"
"AEE","Ameren Corp","75.71","+0.67","+0.89%","75.93","74.66","1,550,533","18:30 ET","STK","Yes","1","[object Object]"
"AEP","American Electric Power Company","75.54","+0.13","+0.17%","75.85","74.93","4,095,900","10/31/23","STK","Yes","1","[object Object]"
"AES","The Aes Corp","14.90","-0.05","-0.33%","14.93","14.67","8,905,103","18:30 ET","STK","Yes","1","[object Object]"
"AFL","Aflac Inc","78.11","+0.71","+0.92%","78.35","77.09","6,776,099","18:30 ET","STK","Yes","1","[object Object]"
"AIG","American International Group","61.31","+0.31","+0.51%","61.55","60.82","3,996,437","18:30 ET","STK","Yes","1","[object Object]"
"AIZ","Assurant Inc","148.90","+2.47","+1.69%","149.09","146.43","431,211","18:30 ET","STK","Yes","1","[object Object]"
